,Measure.overall,Measure,Study,Tonal_N,Non_tonal_N,Tonal.Mean,Tonal.SD,Non.tonal.Mean,Non.tonal.SD,Cohen.s.D,Criteria,Measure.Description,Measure.Classification,Music.Lesson,Notes,Flip,Tonal_language,Comparison_language,sd_pool,cohen_d,total_n,hedge_g,se_smd,se_g,var_smd,var_g
1,Melodic discrimination,Melodic discrimination,Alexander et al. (2008),14,14,NA,NA,NA,NA,0.93,Sensitivity (d'),"2 blocks of 48 five-note melodies; 2AFC; Different trials differed by different combinations of 4, 3, 2, or 1 notes",Melodic Discrimination,"Minimal (less than 4.5 years), no significant differences between groups","Mann-Whiteney U = 140.5, p < 0.05; two-tailed t(21.86)= 2.45, p < 0.05, d = 0.93",NA,Mandarin,English,NA,0.93,28,0.902912621,0.397871569,0.396755844,0.158301786,0.1574152
2,Melodic comparison,Melodic comparison,Bradley (2016),41,26,NA,NA,NA,NA,NA,,"Modified version of the Melodic Comparison subtest of the Musical Ear Test; piano melodies containing 3-8 notes at 100 bpm. Melodies presented in pairs, judge whether identical. Authors came up with the register test. 26 trials per condition with 13 violations each",,"Some participants received musical training, but total years of training not significantly different across groups","They had a main linear regression result but also did Mann-Whiteney tests for different trial types. beta = 0.09, t = 3.32, p < 0.001; Comes from mixed effect model; not sure if this is standardized",NA,Mandarin or Yoruba,English,NA,0.4999784,67,0.494187144,0.256029901,0.255909062,0.06555131,0.065489448
3,Pitch discrimination,Pitch discrimination,Giuliano et al. (2011),17,16,NA,NA,NA,NA,NA,,"two-tone sequences, first tone always C5; hear a pair and respond whether second tone is same or different; 130 same and 130 different trials","fine-tuned, tones",Both groups not significantly different in years of musical training,"F(1, 31) = 7.7, p = 0.009, graph only has specific breakdowns by cents",NA,Mandarin,English,NA,0.6664079,33,0.650154049,0.360120748,0.359566065,0.129686953,0.129287755
4,Nonspeech pitch contour identification,Nonspeech pitch contour identification,Bent et al. (2006),13,12,0.6399,0.2708,0.7028,0.2761,NA,Mean correct %,"sine waves that were either flat, rising or falling; tones change linearly in degrees of 5 to 50 Hz. 14 flat, rising or falling patterns, each presented 10 times; 210 flat and 210 sharp trials; participants indicate whether flat, rising, or falling ",Would be pitch if to include,Limited to little (>3 years) or no music experience,"Analyzed separately based on interval pitch change direction, not sure which one to report",NA,Mandarin,English,0.273347604,-0.230109937,25,-0.222523895,0.401640912,0.401555411,0.161315422,0.161246748
5,Melodic tone discrimination,Melodic tone discrimination,Chang et al. (2016),17,19,0.6,0.0101,0.67,0.0096,NA,Discrimination Accuracy score P,"two intervals (CXE and CX2E), 18 same pairs and 34 different pairs; X is a note altered from D","fine-tuned, interval",,,NA,Mandarin,English,0.00983846,-7.114934693,36,-6.956825033,0.90252011,0.885235235,0.814542548,0.783641421
6,Nonspeech pitch discrimination,Nonspeech pitch discrimination,Bent et al. (2006),13,12,NA,NA,NA,NA,NA,,"standard stimuli at 150 Hz, 16 target randing from 150.5 to 158 Hz in 0.5 steps.  Two-interval forced-choice task. Participants indicate whether higher frequency was presented in first or second interval; 320 trials","fine-tuned, interval",Limited to little (>3 years) or no music experience,No significant differences,TRUE,Mandarin,English,NA,-0.60677819,25,-0.586774513,0.409558783,0.408966413,0.167738397,0.167253527
7,F0 discrimination,F0 discrimination,Bidelman et al. (2011),11,11,1.1455,0.241,1.3545,0.738,NA,Discrimination threshold ,"hear two sequential intervals, one contains a reference pitch, one contains a comparison (higher F0). Identify which interval had higher pitch","fine-tuned, interval",non-musicians received less than three years of musical training; 11 English-speaking musicians not included here. ,"no significant differences; no stats reported, might need to extract from graph, T_se = 0.0728, NT_se = 0.2226",TRUE,Mandarin,English,0.548964935,-0.380716484,22,-0.366258896,0.430246891,0.429961562,0.185112387,0.184866945
8,Chordal detuning discrimination,Chordal detuning discrimination,Bidelman et al. (2011),5,5,NA,NA,NA,NA,NA,,"100 pairs of chordal arpeggios; half contains chords with different thirds (major detuned up) half contains the same chord; participants judge whether the two are same; ""detect chordal detuning at a perceptual level""","Not sure, maybe fine-tuned, arpeggio",non-musicians received less than three years of musical training; 11 English-speaking musicians not included here. ,no significant differences observed; plot only has broken down by type of change,NA,Mandarin,English,NA,1.01953522,10,0.920870521,0.67665858,0.668828883,0.457866834,0.447332075
9,Interval discrimination,Interval discrimination,Giuliano et al. (2011),16,16,NA,NA,NA,NA,NA,,"two pair of notes, first interval C5-G5; second interval F#5-C#6; on different trials C#6 altered by different cents of change; participants judge whether same or different; 160 no change trials and 240 change trials","fine-tuned, interval",both groups did not differ significantly in length of musical training,"F(1, 30) = 1.574, p = 0.219; graph only has specific breakdowns by cents",NA,Mandarin,English,NA,0.281495393,32,0.274398871,0.361924709,0.361516429,0.130989495,0.130694129
10,Melody test,Melody test,Swaminathan et al (2021),107,408,38.308,4.403,35.48,5.465,NA,# correct responses,"Part of MET. 52 trials, each piano melodic phase contains 3-8 notes, participants judge whether two phrases in a trial are identical",Melodic Discrimination ,396 had no private music lesson history; on average 2.6 years of private music lessons ,"tonal native speakers performed significantly better, F(2, 513) = 10.71, p < 0.001; number of correct? ",NA,Mandarin or Cantonese (mostly) vs English (mostly),,5.263155416,0.537320253,515,0.536534314,0.109895763,0.109892035,0.012077079,0.012076259
11,Rhythm test,Rhythm test,Swaminathan et al (2021),107,408,36.57,4.949,36.515,4.919,NA,# correct responses,"Part of MET. 52 tirals, 4-11 beats played with wood block; participants judge whether two phrases in a trial are identical",Rhythm ,397 had no private music lesson history; on average 2.6 years of private music lessons,"performed similarly, F(2, 513) = 1.95, p = 1.43",NA,Mandarin or Cantonese (mostly) vs English (mostly),,4.925213808,0.011167028,515,0.011150694,0.108613516,0.108613514,0.011796896,0.011796896
12,Interval discrimination,Interval discrimination,Pfordresher \& Brown (2009),12,12,0.6,0.22,0.31,0.26,NA,Sensitivity d',"pairs of two-note melodic intervals. Standard interval has C5 and G5. second interval began on F#5, the note following can be same, higher, or lower. Modifications are 25, 50, 100, 200, or 400 cents. Participants judge whether intervals are the same ","Fine-tuned, interval ",limited musical skills matched across groups,"tonal language speakers performed significantly better; t(22) = 2.99, p < .01ï¼› plot is not very informative",NA,"Mandarin, Cantonese, or Vietnamese",English,0.240831892,1.204159458,24,1.162636718,0.443705984,0.44139278,0.196875,0.194827586
13,Note discrimination,Note discrimination,Pfordresher \& Brown (2009),12,12,0.82,0.14,0.85,0.13,NA,Sensitivity d',"two 1-sec sine-wave notes separated by a 1-sec pause; the first note is always a C5 and second note are 50% same, 25% higher, 25% lower, includes 25, 50, 100, 200, 400,600, and 800 cent changes","Fine-tuned, tones",limited musical skills matched across groups,no significant differences,NA,"Mandarin, Cantonese, or Vietnamese",English,0.135092561,-0.222069963,24,-0.214412378,0.409504657,0.409419627,0.167694064,0.167624431
14,Interval discrimination,Interval discrimination,Pfordresher \& Brown (2009),11,11,0.37,0.27,0.13,0.28,NA,Sensitivity d',"pairs of two-note melodic intervals. Standard interval has C5 and G5. second interval began on F#5, the note following can be same, higher, or lower.Modifications are 25, 50, 100, 200, or 400 cents","Fine-tuned, interval ",similar in terms of musical training across groups,"tonal language speakers performed significantly better, t(20) = 1.92, p < 0.05",NA,Mandarin,English or Portuguese,0.275045451,0.872583056,22,0.839446991,0.446231727,0.444784709,0.199122754,0.197833438
15,Note discrimination,Note discrimination,Pfordresher \& Brown (2009),11,11,0.67,0.17,0.7,0.15,NA,Sensitivity d',"two 1-sec sine-wave notes separated by a 1-sec pause; the first note is always a C5 and second note are 50% same, 25% higher, 25% lower, includes 25, 50, 100, 200, 400,600, and 800 cent changes","Fine-tuned, tones",similar in terms of musical training across groups,no significant differences,NA,Mandarin,English or Portuguese,0.160312195,-0.187134858,22,-0.180028471,0.427333685,0.427264296,0.182614079,0.182554778
16,Melody comparison,Melody comparison,Zheng \& Samuel (2018),24,48,71.65,9.17,72.865,9.037097891,NA,% Correct,"two melodies that are either identical, or different by one tone or several tones; task created by the Music and Brain Imaging lab at Harvard Medical School",Melodic Discrimination ,an additional 24 musicians for each group were included in the study but not included here,Percent correct,NA,Mandarin,Korean or English,9.080980281,-0.133796128,72,-0.13235746,0.250248507,0.250243194,0.062624315,0.062621656
17,Pitch precision,Pitch precision,Zheng \& Samuel (2018),24,48,14.46,14.07,16.43,16.33896257,NA,Pitch Precision (Hz)- lower better,staircase procedure. Two short tones and judge whether second tone was higher or lower; difficulty adapted to performance; value indicates participants' frequency sensitivity (lower = better),"Fine-tuned, tones",an additional 24 musicians for each group were included in the study but not included here,pitch percision in Hz,TRUE,Mandarin,Korean or English,15.62982154,-0.126041106,72,-0.124685826,0.250220547,0.250215831,0.062610322,0.062607962
18,Montreal Battery of Evaluation of Amusia,Melody combined,Chen et al. (2016),42,42,0.89,0.08,0.84,0.08,NA,Overall Accuracy,"three subtests aimed at pitch processing (scale, contour, and interval), three on rhythm and short-memory; half same, half different",Melodic Discrimination,no significant difference in musical training across groups,MBEA accuracy,NA,Mandarin,Dutch,0.08,0.447911244,84,0.443801967,0.220966047,0.220916173,0.048825994,0.048803956
19,Musical Ear Test,Musical Ear Test,Chen et al. (2016),42,42,0.78,0.06,0.7,0.1,NA,Overall Accuracy,"first subtests at discrimination between musical melodies, second subtest at discrimination between different rhythms; half same, half different",Melodic Discrimination,no significant differences in musical training across two groups,"MET accuracy, there is also break down of mean and sd for subtest scale, contour, and interval",NA,Mandarin,Dutch,0.082462113,0.9701425,84,0.96124211,0.230697396,0.230475523,0.053221289,0.053118967
20,Melody discrimination,Melody discrimination,Zhang et al. (2020),31,28,39.7097,2.08476,37.4643,4.81881,NA,# correct responses,"Part of MET. 52 trials, each piano melodic phase contains 3-8 notes, participants judge whether two phrases in a trial are identical",Melodic Discrimination ,no formal musical training,"tonal participants outperformed pitch-accented participants, F(1, 57) = 5.583, p = 0.022, partial n^2 = 0.085",NA,Mandarin,Japanese,3.645116495,0.61600226,59,0.607861261,0.266810987,0.266652708,0.071188103,0.071103666
21,Rhythm discrimination,Rhythm discrimination,Zhang et al. (2020),31,28,38.6441,5.02895,39.6071,3.85227,NA,# correct responses,"Part of MET. 52 tirals, 4-11 beats played with wood block; participants judge whether two phrases in a trial are identical",Rhythm,no formal musical training,"pitch-accented participants outperformed tonal participants, F(1, 57) = 5.288, p = 0.025, partial n^2 = 0.085",NA,Mandarin,Japanese,4.51000781,-0.213525129,59,-0.210703211,0.261455028,0.261435625,0.068358731,0.068348586
22,Pitch change detection,Pitch change detection,Peretz et al. (2011),24,25,0.2569,0.14974,0.3287,0.12753,NA,,"21 different sequences, each containing 5 successive tones. All tones played at C6 for standard trial. In conparison sequence, fourth tone was altered, 1.56 cents to 25 cents. Participants indicate yes or no for change","Fine-tuned, tones?",both groups matched in terms of musical training experience; on average two years ,"overall rejection rate did not differ signidicantly, t(47) = 1.28, p = 0.21; tonal speakers however performed significantly worse on several categories of tasks when being looked at individually; manuscript only has error bars for more detailed breakdowns (ie different cents of pitch change)",NA,"Mandarin, Cantonese, or Vietnamese",Unspecified (mostly French),0.138843336,-0.486990015,49,-0.479177341,0.29021118,0.290071199,0.084222529,0.0841413
23,Montreal Battery of Evaluation of Amusia,Melody combined,Peretz et al. (2011),24,25,0.85,0.06,0.87,0.06,NA,% correct responses,"Six tests with each containing 30 same-different classification trials in which a standard melody was followed by a comparison melody; 3 tests for melody, for different trials, one note was altered ( out of scale, out of contour, out of interval); three t",,"both groups matched in terms of musical training experience, on average two years ","no significant group effect, F(1, 47) = 1.66, p = 0.20, however, see Table 2 for breakdown of specific tests, non-tonal speakers performed better on out of the scale melody comparison test, while the two groups did not differ significantly on contour and interval melody comparison tasks",NA,"Mandarin, Cantonese, or Vietnamese",Unspecified (mostly French),0.06,-0.485405934,49,-0.477618673,0.290102805,0.289966134,0.084159638,0.084080359
24,Montreal Battery of Evaluation of Amusia,Rhythm,Peretz et al. (2011),24,25,0.9,0.07,0.88,0.09,NA,% correct responses,,Rhythm ,,ns,NA,"Mandarin, Cantonese, or Vietnamese",Unspecified (mostly French),0.080833425,0.247422401,49,0.243453057,0.286864669,0.286830013,0.082291339,0.082271456
25,Montreal Battery of Evaluation of Amusia,Meter,Peretz et al. (2011),24,25,0.84,0.17,0.87,0.11,NA,% correct responses,,Meter,,ns,NA,"Mandarin, Cantonese, or Vietnamese",Unspecified (mostly French),0.142552715,-0.210448464,49,-0.207072286,0.286563415,0.286538316,0.082118591,0.082104207
26,Montreal Battery of Evaluation of Amusia,Memory,Peretz et al. (2011),24,25,0.89,0.06,0.89,0.09,NA,% correct responses,,Memory,,ns,NA,"Mandarin, Cantonese, or Vietnamese",Unspecified (mostly French),0.076797606,0,49,0,0.285773803,0.285773803,0.081666667,0.081666667
27,F0 difference limens,F0 difference limens,Bidelman et al. (2013),18,18,0.935919,0.515644,3.532267,3.526683,NA,F0 DL (%)- minimum percent of change,"3AFC, three sequential intervals, two containing an indentical reference tone and one contains a higher comparison; identify the interval that contains the higher sounding pitch; deltaF0 calculated using adaptive algorithm","Fine-tuned, interval",18 non-tonal language speaking musicians were also included in the study but not included here,tonal speakers did better than non-tonal speakers; lower value means better performance,TRUE,Cantonese,English,2.52025611,-1.030192126,36,-1.007298968,0.354755311,0.353841051,0.125851331,0.125203489
28,Pitch processing speed,Pitch processing speed,Bidelman et al. (2013),18,18,41.76796574,114.7444066,229.2036241,304.2560359,NA,ms,"two pure tones (G5, A5)  presented in random order and asked to identify the direction of pitch change, adaptive algorithm",Speed,18 non-tonal language speaking musicians were also included in the study but not included here,"tonal speakers did better, unit is ms",TRUE,Cantonese,English,229.9326143,-0.815176477,36,-0.797061444,0.346901216,0.346316068,0.120340454,0.119934819
29,Pitch memory,Pitch memory,Bidelman et al. (2013),18,18,1.125478068,0.386319706,0.779525139,0.430679525,NA,Sensitivity d',"short four-note melody, following 1.5s interval of silence, participants asked to judge whether or not a probe tone had been heard in the preceeding sequence",Memory,18 non-tonal language speaking musicians were also included in the study but not included here,tonal speakers had higher accuracy but their speed was dampened,NA,Cantonese,English,0.409101313,0.845641209,36,0.826849182,0.347912606,0.347284697,0.121043181,0.120606661
30,Melody discrimination,Melody discrimination,Bidelman et al. (2013),18,18,NA,NA,NA,NA,NA,,"forty pairs of short tonal melodies (6 notes each); half contained melody pairs that were identical, other half contained melodies in which a single tone was detuned (sharp or flat by 1/2 or 1/4 semitones)",Melodic Discrimination,18 non-tonal language speaking musicians were also included in the study but not included here,tonal speakers did better on the 1/2 semitone trials but not 1/4 semitone trials,NA,Cantonese,English,NA,0.453598782,36,0.443518809,0.344323417,0.343854291,0.118558616,0.118235774
31,F0 difference limens,F0 difference limens,Hutka et al. (2015),18,21,1.18,0.47,3.67,4.12,NA,F0 DL (%)- minimum percent of change,Same as Bidelman 2013 F0 difference task,"Interval, pitch discrimination",21 non-tonal musicians were included in the study but not here,"tonal speakers outperformed non-tonal speakers, p = 0.003; T_se = 0.11,NT_se = 0.9",TRUE,Cantonese,English,3.045791514,-0.817521485,39,-0.800837373,0.334279946,0.333761767,0.111743082,0.111396917
32,Pitch height discrimination task,Pitch height discrimination task,Tong et al. (2018),15,15,3.061,0.74463,2.5298,1.06628,NA,Sensitivity d',"AX discrimination paradigm, C4 followed by either C4 or C4 deviant by 7, 13, 25, 50, 100 (1 semitone), and 200 cents; participants judge whether two tones are same or difference, 144 trials with 72 same",Pitch Discrimination,15 musicians for both non-tonal and tonal groups were included in the study but not here,Results are not broken down separately by musical experience. Overall no difference but musical training interacts with language; sensitivity index d',NA,Cantonese,English,0.919626793,0.577625624,30,0.562014121,0.372685108,0.372287073,0.138894189,0.138597665
33,Pitch interval discrimination task,Pitch interval discrimination task,Tong et al. (2018),15,15,0.5308,0.39491,0.7173,0.5725,NA,Sensitivity d',"standard and target stimuli each containing two notes; standard has C4 and G4, target starts with F#4 followed by another; C#5 would be identical interval, different intervals C5 altered by 7, 13, 25, 50, 100, or 200 cents","Interval, pitch discrimination",15 musicians for both non-tonal and tonal groups were included in the study but not here,"Again, results not broken down by musical experience; the authors claimed that overall there's no difference in performance; however, musical training improved performance of tonal speakers only",NA,Cantonese,English,0.491787636,-0.379228729,30,-0.368979304,0.368415853,0.368242351,0.13573024,0.135602429
34,Mistuning detection,Mistuning detection,Wong et al. (2012),22,26,78.26,8.41,73.45,13.08,NA,% correct,"pitch of the same downbeat as off-beat was mistuned by a quarter tone without tonal/syntactic violation (unlike Study 1 to get rid of ceiling effect); 12 congruent, 12 incongruent",Melodic Discrimination? ,did not differ in musical training significantly,no significant group differences,NA,Cantonese,English,11.19243737,0.429754471,48,0.422709316,0.292984516,0.292877734,0.085839927,0.085777367
35,Off-beat detection,Off-beat detection,Wong et al. (2012),22,26,86.93,13.15,89.05,7.68,NA,% correct,"half the melodies contain a silence of 5/7 of the beat duration prior to the first downbeat in the third bar of the four bar melody, 12 congruent pairs, 12 incongruent pairs",Rhythm,did not differ in musical training significantly,no significant group differences,NA,Cantonese,English,10.53558411,-0.201222825,48,-0.19792409,0.290409816,0.290386201,0.084337861,0.084324146
36,Out-of-key detection,Out-of-key detection,Wong et al. (2012),408,154,91.1,8.5,86.3,11.3,NA,% correct,"the pitch of the same downbeat violated the tonal/syntactic relationship when considering the rest of the melody, 12 congruent pairs, 12 incongruent pairs",Unsure ,There seems to be a slight difference in training but the out of key scores were adjusted based on that ,tonal speaker advantage,NA,Cantonese,English or French,9.348636264,0.513443872,562,0.512755917,0.095807246,0.095803968,0.009179028,0.0091784
37,Off-beat detection,Off-beat detection,Wong et al. (2012),408,154,84,8.8,84.2,8.7,NA,% correct,"half the melodies contain a silence of 5/7 of the beat duration prior to the first downbeat in the third bar of the four bar melody, 12 congruent pairs, 12 incongruent pairs",Rhythm,Slight differences across groups; Cantonese speakers had on average a bit more training ,no significant group differences,NA,Cantonese,English or French,8.772791745,-0.02279776,562,-0.022767214,0.094577742,0.094577735,0.008944949,0.008944948
38,Mistuned detection,Mistuned detection,Wong et al. (2012),408,154,94.2,6.6,94.2,7.4,NA,% correct,"pitch of the same downbeat as off-beat was mistuned by a quarter tone with tonal & syntactic violation; 12 congruent, 12 incongruent",,Slight differences across groups; Cantonese speakers had on average a bit more training ,no significant group differences. Note that this task includes both mistuning and beat misalignment,NA,Cantonese,English or French,6.827884006,0,562,0,0.094575297,0.094575297,0.008944487,0.008944487
39,Montreal Battery of Evaluation of Amusia,Melody combined,Ngo et al. (2016),8,8,87,6,80,5,NA,% correct,"scale, contour, interval, rhythm, meter, memory subtests",,8 musicians for each group was included in study but not here,tonal speaker advantage overall,NA,Vietnamese,English,5.522680509,1.808061184,16,1.709439665,0.595284507,0.585956853,0.354363644,0.343345433
40,Montreal Battery of Evaluation of Amusia,Rhythm,Ngo et al. (2016),8,8,86,8,80,6,NA,% correct,,Rhythm ,,,NA,Vietnamese,English,7.071067812,0.848528137,16,0.802244784,0.522015325,0.519723385,0.2725,0.270112397
41,Montreal Battery of Evaluation of Amusia,Meter,Ngo et al. (2016),8,8,78,17,84,15,NA,% correct,,Meter,,,NA,Vietnamese,English,16.03121954,-0.374269717,16,-0.353855005,0.504358436,0.503897725,0.254377432,0.253912918
42,Montreal Battery of Evaluation of Amusia,Memory,Ngo et al. (2016),8,8,90,10,85,11,NA,% correct,,Memory,,,NA,Vietnamese,English,10.51189802,0.475651494,16,0.449706867,0.507020844,0.506280439,0.257070136,0.256319883
43,Interval discrimination/Musical Task,Interval discrimination/Musical Task,Stevens et al. (2013),24,24,0.91,0.09,0.89,0.11,NA,% correct,"descending and ascending major and minor musical intervals; 12 same and 12 different interval combos (4 contour and interval differed, 4 interval differed, 4 contour differed)","Unsure; doesn't seem to be fine tuned, but involves intervals only",participants had little to no musical training,no significant group difference; unit. is accuracy,NA,Thai,English,0.100498756,0.199007438,48,0.195745021,0.289388795,0.289365616,0.083745875,0.08373246
44,Frequency discrimination,Frequency discrimination,Stevens et al. (2013),24,24,11.08,6.08,13.4,6.96,NA,Minimum discernable difference (Hz),tones ranged from 392 to 416 Hz by steps of 2Hz. All tones are paired with lowest tone,"Fine-tuned, tones",participants had little to no musical training,no significant group difference; unit is minimum discernable difference (Hz),TRUE,Thai,English,6.534829761,-0.355020725,48,-0.349200713,0.290940281,0.2908669,0.084646247,0.084603554
45,Musical Ear Test,Melodic subset,Choi (2021),30,30,74.8077,6.27431,66.1538,11.23155,NA,Accuracy,,,,,NA,Cantonese,English,9.097106171,0.951280532,60,0.93892624,0.272411066,0.272053648,0.074207789,0.074013187
46,Musical Ear Test,Rhythm subset,Choi (2021),30,30,68.0128,9.77302,67.6923,10.5016,NA,Accuracy,,,,,NA,Cantonese,English,10.14385337,0.031595488,60,0.031185157,0.258214999,0.258214583,0.066674986,0.066674771
47,Relative pitch recognition ,Relative pitch recognition,Hove et a. (2010),24,14,0.565770808,0.188910828,0.4553571,0.08506107,NA,% correct,,,,,NA,Chinese or Hmong,English,0.159414549,0.692620023,38,0.678089533,0.345553724,0.345174317,0.119407376,0.119145309
48,Pitch Discrimination,Pitch Discrimination,Jasmin et al. (2021),31,62,15.75208,11.046897,20.91505387,13.19276398,NA,Threshold,,,We excluded participants with more than three years of musical training,,TRUE,Chinese,English or Spanish,12.52602053,-0.412179899,93,-0.408773453,0.22203715,0.22200329,0.049300496,0.049285461
49,Duration Discrimination,Duration Discrimination,Jasmin et al. (2021),31,62,28.95169,12.75553,26.00145677,13.9838033,NA,Threshold,,,We excluded participants with more than three years of musical training,,TRUE,Chinese,English or Spanish,13.59114871,0.21707019,93,0.215276221,0.220545749,0.220536295,0.048640427,0.048636257